ObjectID,extendPortTotalPrevious15MinDnDiscByteCounter,extendPortTotalPrevious15MinDnDiscFrameCounter,extendPortTotalPrevious15MinDnFwdByteCounter,extendPortTotalPrevious15MinDnFwdFrameCounter,extendPortTotalPrevious15MinTimeMeasured,extendPortTotalPrevious15MinUpDiscByteCounter,extendPortTotalPrevious15MinUpDiscFrameCounter,extendPortTotalPrevious15MinUpFwdByteCounter,extendPortTotalPrevious15MinUpFwdFrameCounter
R1.S1.LT4.PON1.ONT5.C14.P1,0,0,1263612333,1187151,900,0,0,216624380,757442
R1.S1.LT3.PON9.ONT1.C14.P1,0,0,244469521,184724,900,0,0,12277743,86405
R1.S1.LT5.PON3.ONT21.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON7.ONT38.C14.P1,0,0,2281246318,1738141,900,0,0,164829201,922560
R1.S1.LT7.PON11.ONT50.C14.P1,0,0,10944,127,900,0,0,37635,381
R1.S1.LT7.PON9.ONT2.C14.P1,0,0,9801404,9193,900,0,0,1653506,5502
R1.S1.LT5.PON3.ONT13.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT27.C14.P1,0,0,108359124,82450,900,0,0,6570534,49579
R1.S1.LT3.PON8.ONT42.SERV1,0,0,2376,20,900,0,0,72471,121
R1.S1.LT5.PON14.ONT18.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT40.SERV1,0,0,79158,146,900,0,0,160441,208
R1.S1.LT4.PON2.ONT22.SERV1,0,0,5000,23,900,0,0,63172,106
R1.S1.LT7.PON10.ONT3.SERV1,0,0,57318,157,900,0,0,109724,171
R1.S1.LT7.PON9.ONT28.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT7.C14.P1,0,0,82647595,90200,900,0,0,25368640,70599
R1.S1.LT5.PON14.ONT44.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON10.ONT57.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT14.C14.P1,0,0,642783794,498560,900,0,0,33403657,199658
R1.S1.LT3.PON8.ONT35.C14.P1,0,0,101767368,76552,900,0,0,4012200,23649
R1.S1.LT5.PON13.ONT26.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON3.ONT41.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON7.ONT66.C14.P1,0,0,3429939,3363,900,0,0,388555,2575
R1.S1.LT2.PON4.ONT15.SERV1,0,0,5008,23,900,0,0,54976,94
R1.S1.LT2.PON4.ONT21.C14.P1,0,0,105415040,80849,900,0,0,5013931,23334
