ObjectID,gponOntOntsideAggGemIntervalReceiveBlocksCounter64,gponOntOntsideAggGemIntervalReceiveFrags,gponOntOntsideAggGemIntervalTransmitBlocksCounter64,gponOntOntsideAggGemIntervalTransmitFrags
R1.S1.LT6.PON6.ONT31,359322,15529,21852,7317
R1.S1.LT6.PON8.ONT37,3333461,120651,104159,41373
R1.S1.LT3.PON7.ONT36,8965,3481,4330,1277
R1.S1.LT3.PON8.ONT39,4981336,197600,220828,80772
R1.S1.LT3.PON7.ONT37,8956,3548,4422,1310
R1.S1.LT3.PON8.ONT36,3650346,130403,83331,36315
R1.S1.LT2.PON1.ONT35,148949,7064,12810,4324
R1.S1.LT5.PON4.ONT35,4461202,181388,206829,50122
R1.S1.LT6.PON5.ONT35,646407,34459,81570,19409
R1.S1.LT6.PON9.ONT39,943181,44602,113237,27835
R1.S1.LT7.PON9.ONT36,5631386,211089,336127,100503
R1.S1.LT5.PON4.ONT32,216,101,1272,430
R1.S1.LT6.PON5.ONT32,1588131,67137,73738,13629
R1.S1.LT6.PON6.ONT35,6655218,336119,2094907,213671
R1.S1.LT6.PON7.ONT38,47426398,1741367,3446392,925025
R1.S1.LT6.PON9.ONT36,171,75,1461,466
R1.S1.LT7.PON9.ONT37,236,139,298,69
R1.S1.LT2.PON2.ONT32,2147057,88385,106484,27184
R1.S1.LT5.PON4.ONT33,3466032,126585,149176,58383
R1.S1.LT6.PON5.ONT33,15053362,573230,604231,207375
R1.S1.LT6.PON6.ONT32,131953,6589,28771,5551
R1.S1.LT6.PON7.ONT39,6617347,249516,316420,120472
R1.S1.LT6.PON8.ONT38,5231769,179398,340857,147870
R1.S1.LT5.PON4.ONT30,339,158,927,316
R1.S1.LT6.PON7.ONT36,2852654,112244,179431,49957
R1.S1.LT8.PON15.ONT9,4126621,233121,778139,147088
R1.S1.LT8.PON16.ONT1,821467,31743,42731,10627
R1.S1.LT8.PON16.ONT2,7987097,277321,210410,111985
R1.S1.LT8.PON15.ONT1,6176,773,3108,652
R1.S1.LT8.PON15.ONT6,794165,29484,28003,7049
R1.S1.LT8.PON15.ONT3,2024385,73280,164534,51060
R1.S1.LT8.PON15.ONT4,502,196,2113,817
R1.S1.LT8.PON15.ONT7,2441,244,4770,958
R1.S1.LT8.PON16.ONT3,179,88,1478,256
R1.S1.LT8.PON15.ONT5,415003,225334,4810929,288664
R1.S1.LT2.PON4.ONT14,246,107,1217,307
R1.S1.LT2.PON4.ONT15,11565990,411566,375602,176657
R1.S1.LT2.PON4.ONT18,0,0,0,0
R1.S1.LT2.PON4.ONT19,196,81,1575,447
R1.S1.LT2.PON4.ONT16,6336407,227066,258599,116511
R1.S1.LT2.PON4.ONT17,256,99,1350,421
R1.S1.LT3.PON8.ONT11,5365285,203179,184845,68604
R1.S1.LT4.PON2.ONT10,421,182,2091,776
R1.S1.LT7.PON9.ONT18,2226399,84938,76920,20357
R1.S1.LT4.PON2.ONT11,32411463,1297380,5457043,1012246
R1.S1.LT6.PON9.ONT18,27790,2716,14372,3383
R1.S1.LT7.PON9.ONT19,31012227,1180830,2152158,305566
R1.S1.LT7.PON9.ONT16,13436447,587812,813342,261428
R1.S1.LT2.PON1.ONT12,17831926,656066,881214,252288
R1.S1.LT4.PON3.ONT12,28906,2072,6403,2473
R1.S1.LT5.PON4.ONT12,54472579,1898768,2188105,796767
R1.S1.LT6.PON7.ONT18,4517332,171745,179959,42102
R1.S1.LT3.PON7.ONT13,9551295,339460,314712,165986
R1.S1.LT3.PON8.ONT12,10306537,425354,2276797,259833
R1.S1.LT4.PON1.ONT12,245044,9866,19848,7691
R1.S1.LT6.PON8.ONT11,7258931,279146,173598,58586
R1.S1.LT3.PON7.ONT10,1708659,68724,86334,34526
R1.S1.LT3.PON8.ONT13,6172382,237480,352791,125542
R1.S1.LT4.PON1.ONT13,8530333,291124,125979,63978
R1.S1.LT4.PON2.ONT12,3227973,131922,205728,106616
R1.S1.LT3.PON7.ONT11,4355443,249308,3927719,219393
R1.S1.LT3.PON8.ONT10,18073189,656590,270228,110234
R1.S1.LT4.PON1.ONT10,352380,25375,59711,25532
R1.S1.LT4.PON2.ONT13,6712,789,3665,1347
R1.S1.LT7.PON9.ONT10,1078119,39478,43993,12734
R1.S1.LT7.PON9.ONT11,897461,33767,97992,10937
R1.S1.LT6.PON7.ONT13,0,0,0,0
R1.S1.LT6.PON8.ONT12,57538,2482,6887,1383
R1.S1.LT6.PON9.ONT11,1360891,49790,61768,20440
R1.S1.LT6.PON7.ONT10,302348,20446,73599,17878
R1.S1.LT6.PON8.ONT13,497307,17855,37186,12408
R1.S1.LT7.PON9.ONT12,1243672,48792,88316,33537
R1.S1.LT6.PON9.ONT12,15465195,529959,512987,244118
R1.S1.LT7.PON9.ONT13,1558691,58348,99238,29376
R1.S1.LT2.PON1.ONT17,18938,2677,10901,1606
R1.S1.LT2.PON2.ONT16,7649,966,7323,1698
